Equipment Fault Number & Desc,Equipment Short Name,Count of Faults,Duration
603 - PS *ZONE 10 LO SPRAY PRESS-ZONE 2 SCREENS(603),PASTEURIZER,3,211.1166667
614 - DC2-VFD DRIVE FAULT (614),WOOD OUT,3,17.23333333
625 - MP CLEAN OFF OPEN FLAP REFLECTORS (625),Maxim Packer,3,0.983333333
628 - BP ANTON PAAR DUMP LOCKED BY BREWING (628),BEER PIPE,3,27.45
640 - MP BALER CHECK INLET CHUTE ON DOOR EE1 (640),Maxim Packer,3,56.9
648 - BP SV10L-30507 BRW CIP SPLY VLV NOT OPEN(648),BEER PIPE,3,26.38333333
"686 - DP NO AIR AT DEBANDER, CHECK HAND VALVES(686)",DEPALLETIZER,3,7.216666667
724 - PS PASTEURIZER BED SPEED OUT OF LIMIT (724),PASTEURIZER,3,27.61666667
760 - MP FC COMB OFF @ 12/12 (CST10F30B INFD) (760),Maxim Packer,3,9.733333333
799 - SW1-DISCHARGE BACKED AT SW (799),STRETCH WRAP 1,3,1208.433333
7 - FC1-E-STOP PRESSED AT CST10F20B (7),FULL CAN 1,3,33.31666667
96 - DB1-MT10DB-3 STOPPED BUT AUX CONTACT CLOSED(96),DELIVERY BELT 1,3,0.583333333
97 - DC2-AC-04 NOT IN AUTO MODE (97),WOOD OUT,3,74.71666667
98 - EC TT10E-5 NOT IN AUTO AT EEP10E1 (98),EMPTY CAN,3,8.416666667
99 - DC2-AC-08 NOT IN AUTO MODE (99),WOOD OUT,3,7.65
100 - DB2-MT10DB-37 NOT IN AUTO AT CST10DB37 (100),DELIVERY BELT 2,2,0.083333333
102 - FC1-VSD10F-8 NOT IN AUTO AT EEP10F1 (102),FULL CAN 1,2,0.3
102 - FC2 TT10F-31 NOT IN AUTO EEP10F2 (102),FULL CAN 2,2,30.43333333
103 - DB1-MT10DB-10 STOPPED BUT AUX CONTACT CLOSED(103),DELIVERY BELT 1,2,0.35
109 - FC1-VSD10F-16 NOT IN AUTO AT EEP10F1 (109),FULL CAN 1,2,2
112 - RS AB10E-12 NOT IN AUTO AT EEP10E1 (112),RINSER,2,55.7
113 - DB1-MT10DB-23 STOPPED BUT AUX CONTACT CLOSED(113),DELIVERY BELT 1,2,0.05
114 - FC2 TT10F-37 NOT IN AUTO AT WKS (114),FULL CAN 2,2,563.3666667
174 - FL PLC RACK 16 FAULT (174),FILLER,2,601.4
17 - FY E-STOP CST10Y1 (17),FILLER CONV,2,0.233333333
19 - PL2-PX-GS2 SAFETY GATE #2 OPEN (19),PALLETIZER 2,2,1.3
22 - DC2-SAFETY FENCE WEST DEPAL OUTFEED FLT (22),WOOD OUT,2,2.533333333
239 - SW1-ME10SW1 READ OF PAL1-E-NET COMM FAIL (239),STRETCH WRAP 1,2,13.98333333
256 - DB1-SDN #1 BLOCK TRANSFER 52 READ ERROR (256),DELIVERY BELT 1,2,268.65
2 - DP E-STOP PRESSED DUNNAGE CONSOLE (2),DEPALLETIZER,2,4.45
2 - EC E-STOP AT CST10E5 PUSHED (2),EMPTY CAN,2,35.38333333
33 - DP HOIST DOORS NOT CLOSED (33),DEPALLETIZER,2,17.66666667
39 - CL DOOR SW #7 HARD WIRED/STATUS CONFLICT (39),SEAMER,2,1.783333333
423 - CN CARTON FEED RAISED FAULT (423),2/12 Packer,2,15.4
423 - PL1-E-Z3S BLOCKED TOO LONG ALARM (423),PALLETIZER 1,2,1.866666667
424 - CJ TRANSFER FAULT (424),12/12 Packer,2,144.9166667
424 - PL1 PALLET TINES RETRACT TO LONG WARNING (424),PALLETIZER 1,2,1.083333333
430 - DP INFEED CONV #2 DWNSTRM PE BLKD PASS (430),DEPALLETIZER,2,3.016666667
455 - DP DISCHARGE CNVR #2 JAM WHILE PASSING (455),DEPALLETIZER,2,11.15
456 - DP PALLET JAMMED AT DISCH FROM HOIST (456),DEPALLETIZER,2,7.183333333
484 - FY MOTOR TT10Y-2 FAULTED (484),FILLER CONV,2,8.683333333
487 - DP INFEED CNVR #3 DRIVE FAULT (487),DEPALLETIZER,2,7.05
488 - DP INFEED CNVR #4 DRIVE FAULT (488),DEPALLETIZER,2,3.133333333
489 - DP INFEED CNVR #5 DRIVE FAULT (489),DEPALLETIZER,2,2.116666667
489 - FC1-VSD10F-10 FAULTED (489),FULL CAN 1,2,7.716666667
489 - SW2-MS10SW21-11 CONVEYOR 11 FAULT (489),STRETCH WRAP 2,2,0.5
491 - DB3-VSD10DB3-71(VSD50DB1-51) DRIVE FAULT (491),DELIVERY BELT 3,2,7.433333333
493 - RS AIR BLOWER AB10E-9 FAULTED (493),RINSER,2,42.83333333
494 - SW1-MS10SW12-18 CONVEYOR 18 FAULTED (494),STRETCH WRAP 1,2,255.4333333
499 - DB2-MOTOR MS-33A FAILED TO RUN (499),DELIVERY BELT 2,2,0.033333333
519 - DP PALLET NOT DETECTED (519),DEPALLETIZER,2,10.11666667
527 - SW2-8 TO 9 JAM DETECTED EAST EXT (527),STRETCH WRAP 2,2,102.9
538 - AL2-MAIN ELEVATOR DOWN FAULT (538),ALF LID DEPAL,2,2.95
547 - AL2-LID DEPAL VACUUM GENERATOR ENABLE (547),ALF LID DEPAL,2,47.05
559 - SW1-XFER PROX SWITCH FAULT M10SW12-17 (559),STRETCH WRAP 1,2,234.35
560 - DP RAISE SWEEP GATE TO RETRACT SWEEP (560),DEPALLETIZER,2,3.6
562 - MP SAFE MODE SELECT AT INFEED REDIPANEL (562),Maxim Packer,2,8.833333333
564 - SW2-oUTFEED EYE PE-3 IS FAULTED (564),STRETCH WRAP 2,2,0.1
565 - SW1-LOAD POSITION EYE PE-2 DEFECTIVE (565),STRETCH WRAP 1,2,2.783333333
567 - DB2-CASES JAMMED AT 10DB-43 (567),DELIVERY BELT 2,2,4.216666667
567 - DP CLOSE WALLS TO RAISE HOIST (567),DEPALLETIZER,2,1.116666667
569 - PL1-DISCHARGE FAILURE ALARM (569),PALLETIZER 1,2,5.566666667
574 - DC2-T-CAR DROP AT DEPAL INFEED JAM (574),WOOD OUT,2,4.166666667
575 - SW1-INFD AUTO SHUTDWN EYE PE-5 EYE FLT (574),STRETCH WRAP 1,2,2.783333333
576 - SW1-OUTFD AUTO SHUTDWN EYE PE-6 EYE FLT (576),STRETCH WRAP 1,2,0.983333333
582 - DB3-CASE COUNT EYE NO SIGNAL FAULT (582),DELIVERY BELT 3,2,17.88333333
583 - AL LANE B SHUTTER LOWER MOTION (583),ALF DEBAGGER,2,3.766666667
615 - AL2-VACUUM CUP L.H CYLINDER MOTION (615),ALF LID DEPAL,2,1.783333333
627 - DB3-CASES JAMMED AT 10DB3-70 (627),DELIVERY BELT 3,2,5.483333333
629 - PS *ZONE 6 HIGH TEMP FAULT (629),PASTEURIZER,2,27.25
638 - MP L10 BALER L2 & L4 FAILURE (638),Maxim Packer,2,7.916666667
667 - DP TO PV NO POWER (667),DEPALLETIZER,2,0.033333333
671 - CL UNDERCOVER GAS LOW HIGH SPEED ALARM (671),SEAMER,2,1.7
67 - FL HT ADJ CRD NOT IN MTR SOCKET (67),FILLER,2,43
690 - DP CUTTER RETRACT JAM (690),DEPALLETIZER,2,13.98333333
691 - DP HEAD NOT ROTATED NEAR CHOPPER (691),DEPALLETIZER,2,6.75
799 - SW2-DISCHARGE BACKED UP SW (799),STRETCH WRAP 2,2,0.35
85 - PS SPRAY PUMP 6 NOT IN AUTO @ WKS (85),PASTEURIZER,2,0.533333333
96 - DC2-AC-02 NOT IN AUTO MODE (96),WOOD OUT,2,5.616666667
98 - DB2-MT10DB-35 NOT IN AUTO AT CST10DB35 (98),DELIVERY BELT 2,2,0.033333333
98 - FC2 TT10F-37 NOT IN AUTO EEP10F2 (98),FULL CAN 2,2,0.066666667
100 - EC TT10E-6 NOT IN AUTO AT EEP10E1 (100),EMPTY CAN,1,0.05
100 - FC1-VSD10F-6 NOT IN AUTO AT EEP10F1 (100),FULL CAN 1,1,0.016666667
100 - FC2 TT10F-29 NOT IN AUTO EEP10F2 (101),FULL CAN 2,1,0.016666667
101 - FC2 TT10F-30 NOT IN AUTO EEP10F2 (101),FULL CAN 2,1,0.516666667
103 - DB2-MT10DB-40 NOT IN AUTO AT CST10DB40 (103),DELIVERY BELT 2,1,0.016666667
103 - FC2 TT10F-32 NOT IN AUTO EEP10F2 (103),FULL CAN 2,1,0.033333333
104 - FC1-VSD10F-10 NOT IN AUTO AT EEP10F1 (104),FULL CAN 1,1,0.016666667
104 - RS VP10E-8 NOT IN AUTO AT EEP10E1 (104),RINSER,1,0.15
106 - FC2 TT10F-35 NOT IN AUTO EEP10F2 (106),FULL CAN 2,1,0.133333333
107 - FC2 TT10F-36 NOT IN AUTO EEP10F2 (107),FULL CAN 2,1,0.783333333
10 - FC1-EEP10F1 CONTROL POWER OFF (10),FULL CAN 1,1,0.15
116 - FC2 TT10F-29 NOT IN AUTO AT WKS (116),FULL CAN 2,1,0.016666667
1170 - MP AXIS 2 DRIVE HARD FAULT FAULT (1170),Maxim Packer,1,1.066666667
1171 - MP AXIS 3 DRIVE HARD FAULT FAULT (1171),Maxim Packer,1,0.15
119 - FC1-MOTOR TT10F-2 NOT IN AUTO AT WKS (119),FULL CAN 1,1,428.1833333
127 - DB2-MT10DB-44 NOT IN AUTO AT WKS (127),DELIVERY BELT 2,1,0.05
128 - FC2 VSD10F-30 NOT IN AUTO CST10F30B (128),FULL CAN 2,1,0.016666667
13 - DB1-E-STOP PRESSED AT CST10DB32A (13),DELIVERY BELT 1,1,0.016666667
147 - FC1-FILTEC #1 FAULTED (147),FULL CAN 1,1,14.11666667
151 - FC1-ACT10F-3 NOT IN AUTO AT EEP10F1 (151),FULL CAN 1,1,0.05
1620 - MP AXIS 4 POSITION ERROR FAULT (1620),Maxim Packer,1,247.4
167 - DC2-RACK 7 FAULTED (167),WOOD OUT,1,1.166666667
168 - FL PLC LOST COMM FILLER/CLOSER-RACK 10 (168),FILLER,1,0.25
16 - FY E-STOP EEP10Y1 (16),FILLER CONV,1,0.133333333
18 - FY E-STOP CST10Y6 (18),FILLER CONV,1,0.116666667
1 - DB2-E-STOP PRESSED AT MOTOR 39 (1),DELIVERY BELT 2,1,0.016666667
1 - DC2-AC-02 AIR CHAIN E-STOP PULL CORD (1),WOOD OUT,1,0.6
1 - EC E-STOP AT CST10E1 PUSHED (1),EMPTY CAN,1,0.016666667
1 - FC1-E-STOP PRESSED AT CST10F4 (1),FULL CAN 1,1,1
1 - FC2 E-STOP PRESSED AT CST10F26 (1),FULL CAN 2,1,0.016666667
1 - PS E-STOP PRESSED AT INFEED CSTP1 (1),PASTEURIZER,1,0.533333333
23 - DB3-E-STOP PRESSED AT CST10DB3-3 (23),DELIVERY BELT 3,1,0.05
241 - DB2-SDN #1 BLOCK XFER 62 WRITE FAULT (241),DELIVERY BELT 2,1,0.933333333
245 - PS *BLOCK XFER ERR AN OUT 1771-OFE 0/2/0 (245),PASTEURIZER,1,83.08333333
24 - DB3-E-STOP PRESSED AT CST10DB3-4 (24),DELIVERY BELT 3,1,0.016666667
25 - DB3-E-STOP PRESSED AT CST10DB3-5 (25),DELIVERY BELT 3,1,5.616666667
2 - DC2-AC-04 AIR CHAIN E-STOP PULL CORD (2),WOOD OUT,1,27.73333333
2 - FC1-E-STOP PRESSED AT CST10F9 (2),FULL CAN 1,1,28.03333333
33 - SW1-SAFETY GATE #1 OPEN LS1 (33),STRETCH WRAP 1,1,1.45
39 - AL DEBAGGER INFEED GUARD L.H.5 OPEN (39),ALF DEBAGGER,1,0.65
3 - RS E-STOP AT CST10E7 PUSHED (3),RINSER,1,0.1
418 - DB3-SDN #1 CHANNEL A DEVICE IDLE (418),DELIVERY BELT 3,1,0.116666667
41 - CL DOOR SW #5R HARD WIRED/STATUS CONFLICT(41),SEAMER,1,2.316666667
435 - DP INFEED CONV #7 DWNSTRM PE BLKD PASS (435),DEPALLETIZER,1,0.383333333
459 - DP LOAD/UNLD CNV 2 JAM MOVING LOAD (459),DEPALLETIZER,1,10.4
45 - AL DEBAGGER INFEED R.H.5 GUARD OPEN (45),ALF DEBAGGER,1,2.25
465 - EC TT10E-5 CONVEYOR FAULTED (465),EMPTY CAN,1,1.066666667
465 - SW1-CONVEYOR #33 FAULTED (465),STRETCH WRAP 1,1,169.1333333
480 - CN VFD-1 INFEED DRIVE FAULT (480),2/12 Packer,1,0.016666667
481 - FC1-VSD10F-2 FAULTED (481),FULL CAN 1,1,0.1
482 - DB1-MT10DB-10 MOTOR FAULT (482),DELIVERY BELT 1,1,0.2
482 - PL1-DIVIDER FREQUENCY FAULT (482),PALLETIZER 1,1,6.3
482 - PS *SPRAY PUMP 3 FAULT (482),PASTEURIZER,1,0.366666667
484 - PS *SPRAY PUMP 5 FAULT (484),PASTEURIZER,1,0.183333333
486 - FC1-VSD10F-7 FAULTED (486),FULL CAN 1,1,1.383333333
486 - FC2 VSD10F-31 FAULT (486),FULL CAN 2,1,0.083333333
486 - SW2-MS10SW21-10 CONVEYOR 10 FAULT (486),STRETCH WRAP 2,1,2.45
487 - FY MOTOR TT10Y-5 FAULTED (487),FILLER CONV,1,0.1
488 - FY MOTOR TT10Y-6 FAULTED (488),FILLER CONV,1,10.85
489 - FY MOTOR TT10Y-7 FAULTED (489),FILLER CONV,1,41.75
491 - PS *SPRAY PUMP 10 FAULT (491),PASTEURIZER,1,0.766666667
492 - DB2-MOTOR MS-45 FAILED TO RUN (492),DELIVERY BELT 2,1,16.86666667
492 - SW1-MS10SW12-16 CONVEYOR 16 FAULTED (492),STRETCH WRAP 1,1,53.66666667
493 - FY MOTOR TT10Y-11 FAULTED (493),FILLER CONV,1,3.45
494 - DB1-MT10DB-22 MOTOR FAULT (494),DELIVERY BELT 1,1,6.666666667
494 - FY MOTOR TT10Y-12 FAULTED (494),FILLER CONV,1,4.266666667
497 - DP CHOPPER DRIVE FAULTED (497),DEPALLETIZER,1,0.316666667
499 - PS *UPR BELT BED SHAFT NOT ROTATING (499),PASTEURIZER,1,0.883333333
4 - FC1-E-STOP PRESSED AT CST10F20 (4),FULL CAN 1,1,0.533333333
501 - DB1-MT10DB-29 MOTOR FAULT (501),DELIVERY BELT 1,1,0.566666667
503 - DB2-MOTOR MS-34 VSD DRIVE FAULTED (503),DELIVERY BELT 2,1,13.93333333
504 - DB1-MT10DB-32 MOTOR FAULT (504),DELIVERY BELT 1,1,0.016666667
506 - DB2-MOTOR MS-51 VSD DRIVE FAULTED (506),DELIVERY BELT 2,1,29.43333333
512 - PS *HE45P-5 PUMP FAULT (512),PASTEURIZER,1,2.366666667
514 - PS *HE45P-7 PUMP FAULT (514),PASTEURIZER,1,0.066666667
514 - SW1-5 TO 6 JAM DETECTED (514),STRETCH WRAP 1,1,172.25
514 - SW2-5 TO 6 JAM DETECTED (514),STRETCH WRAP 2,1,0.133333333
517 - DB2-CONV DS-38 DISCONNECT SWITCH OPEN (517),DELIVERY BELT 2,1,19.51666667
518 - DB2-CONV DS-39 DISCONNECT SWITCH OPEN (518),DELIVERY BELT 2,1,7.683333333
519 - DB2-CONV DS-40 DISCONNECT SWITCH OPEN (519),DELIVERY BELT 2,1,8.5
520 - DB2-CONV DS-41 DISCONNECT SWITCH OPEN (520),DELIVERY BELT 2,1,12.81666667
521 - DB2-CONV DS-42 DISCONNECT SWITCH OPEN (521),DELIVERY BELT 2,1,1.1
523 - DB2-CONV DS-44 DISCONNECT SWITCH OPEN (523),DELIVERY BELT 2,1,0.066666667
525 - SW1-16 TO 17 JAM DETECTED (525),STRETCH WRAP 1,1,0.1
527 - SW1-18 TO 19A JAM DETECTED (527),STRETCH WRAP 1,1,28.98333333
528 - DB2-CONV DS-49 DISCONNECT SWITCH OPEN (528),DELIVERY BELT 2,1,0.033333333
528 - DP FRAME CARRIAGE JAM WHILE RETRACTING (528),DEPALLETIZER,1,0.016666667
530 - DP FRAME DID NOT DROP INTO FRAME BIN (530),DEPALLETIZER,1,0.3
530 - SW2-11 TO 12A JAM DETECTED EAST EXT (530),STRETCH WRAP 2,1,0.116666667
532 - SW2-12B TO 13 JAM DETECTED EAST EXT (532),STRETCH WRAP 2,1,0.066666667
535 - SW2-15 TO 16 JAM DETECTED (535),STRETCH WRAP 2,1,0.05
536 - SW2-16 TO 17 JAM DETECTED (536),STRETCH WRAP 2,1,0.083333333
539 - AL2-PARTIAL PALLET CONVEYOR FAULT (539),ALF LID DEPAL,1,1.416666667
539 - SW2-19 TO 20 JAM DETECTED (539),STRETCH WRAP 2,1,17.2
53 - MP GUARD DOOR 17 OPEN (53),Maxim Packer,1,4.1
541 - AL2-INSIDE MAGAZINE CONVEYOR FAULT (541),ALF LID DEPAL,1,6.383333333
541 - DP SHEET HOIST RAISED W/O PALLET (541),DEPALLETIZER,1,0.7
544 - SW1-19A TO 19B JAM DETECTED (544),STRETCH WRAP 1,1,0.033333333
555 - SW1-CST10SW14-30 NOT IN AUTO (555),STRETCH WRAP 1,1,0.666666667
558 - SW2-XFER PROX SWITCH FLT M10SW21-8 (558),STRETCH WRAP 2,1,0.55
560 - AL BAG REMOVAL NOT COMPLETE FAULT (560),ALF DEBAGGER,1,1.766666667
563 - PS LOAD CELL EAST UPR DECK LOW LOAD FLT (563),PASTEURIZER,1,0.716666667
564 - PL2-HOIST LOWERED TOO LONG ALARM (564),PALLETIZER 2,1,1.833333333
567 - SW1-LOW LOAD DETECTION EYE PE-8 DEFECTVE (567),STRETCH WRAP 1,1,0.2
569 - DP OPEN HOIST WALLS TO RUN INFD CNVR #1 (569),DEPALLETIZER,1,0.366666667
576 - DC2-T-CAR DROP AT WOODOUT JAM (576),WOOD OUT,1,3.583333333
577 - SW2-CARRIAGE FAULT OPEN (577),STRETCH WRAP 2,1,0.35
580 - DB3-CASE COUNT EYE EE10DB3-61-B DEVIATION(580),DELIVERY BELT 3,1,2.866666667
582 - MP DIVERTER LOW AIR PRESSURE (582),Maxim Packer,1,0.283333333
586 - DP SWP OR SHT CARR NOT IN POS FOR PRGE (586),DEPALLETIZER,1,0.066666667
587 - DP PURGE SHT TO EXTEND SWEEP (587),DEPALLETIZER,1,3.25
591 - AL1-DEBAGGER BAG TRANSFER #4 CONV JAM (591),ALF CONVEYOR,1,2.666666667
592 - FL BEER BRAND MISMATCH (592),FILLER,1,1.916666667
592 - PL1-PX-HB2 FAILED OR IS OUT OF POSITION (592),PALLETIZER 1,1,0.3
594 - SW1-VFD-4 DRIVE FAULT (594),STRETCH WRAP 1,1,0.2
5 - RS E-STOP AT CST10ER PUSHED (5),RINSER,1,20.35
601 - AL1-DEBAGGER BAG TRANSFER #6 CONV JAM (601),ALF CONVEYOR,1,2.733333333
610 - AL2-EMPTY PALLET MAGAZINE CYCLE FAULT (610),ALF LID DEPAL,1,2.7
616 - AL2-VACUUM CUP R.H CYLINDER MOTION (616),ALF LID DEPAL,1,1.7
621 - BP BALLING ABOVE UPPER LIMIT ALARM (621),BEER PIPE,1,0.533333333
622 - BP BALLING BELOW LOWER LIMIT ALARM (622),BEER PIPE,1,0.883333333
625 - DB3-CASES JAMMED AT 10DB3-72 (625),DELIVERY BELT 3,1,3.8
629 - MP GLUE HEAD MISALIGNED SOUTH/EAST (629),Maxim Packer,1,22.65
631 - MP GLUE HEAD MISALIGNED SOUTH/WEST (631),Maxim Packer,1,6.416666667
64 - FL FILLER IN SAFE MODE (64),FILLER,1,0.116666667
656 - CL CAM OFF SEAM LS PANELVIEW ALARM (656),SEAMER,1,6.666666667
660 - CL TRANSFER FEED CHAIN LS PNLVW ALM (660),SEAMER,1,32.28333333
662 - DP TO PV DOOR 4 OPEN (662),DEPALLETIZER,1,0.55
"663 - CL SERVICE DOOR OPEN, LID FEED SIDE (663)",SEAMER,1,1.566666667
665 - DP TO PV DOOR 7 OPEN (665),DEPALLETIZER,1,0.1
672 - PS *HE45P-5 PRESSURE FAULT (672),PASTEURIZER,1,6.516666667
680 - DP TO PV REV OVER-TRAVEL X-AXIS (680),DEPALLETIZER,1,6.316666667
683 - DP CLAMPS JAM (683),DEPALLETIZER,1,4.633333333
687 - DP RAISE CUTTER/CLAMP JAM (687),DEPALLETIZER,1,0.6
693 - DP Y-AXIS JAM (693),DEPALLETIZER,1,3.8
6 - MP PHS-E-STOP AT MP3_CST1 (6),Maxim Packer,1,0.133333333
6 - RS E-STOP AT CST10E12 PUSHED (6),RINSER,1,0.133333333
701 - CL N2 XV4 EAST PRESS VLV FAILED TO CLOSE(701),SEAMER,1,1.333333333
704 - AL3-LID GAP AT LANE A FILLER VEE TRAY (704),ALF V-TRAY,1,0.15
704 - MP AXIS4 OVERHEAD SQ SERVO FAULT (704),Maxim Packer,1,0.1
753 - MP JOG MODE SELECT AT INFEED REDIPANEL (753),Maxim Packer,1,41.81666667
75 - FL COUNTER PRESS. CAM NOT IN AUTO (75),FILLER,1,1.783333333
880 - MP AXIS5 CARTON FEED DRIVE FAULTED (880),Maxim Packer,1,86.8
8 - DB1-E-STOP PRESSED AT CST10DB18 (8),DELIVERY BELT 1,1,0.016666667
8 - MP PHS-E-STOP AT MP3_CST3 (8),Maxim Packer,1,1.1
97 - DB1-MT10DB-4 STOPPED BUT AUX CONTACT CLOSED(97),DELIVERY BELT 1,1,0.016666667
98 - DC2-AC-06 NOT IN AUTO MODE (98),WOOD OUT,1,0.266666667
98 - FC1-VSD10F-4 NOT IN AUTO AT EEP10F1 (98),FULL CAN 1,1,0.45